,k,p,q,run_id,param,param_out,param_pos,input,output,diff
2299,2,0,1,0,mu,mu_out,0,,,
2297,2,0,1,1,mu,mu_out,0,-2.913906670563172,-2.968566286085971,0.054659615522798966
2298,2,0,1,1,mu,mu_out,1,-1.8470681629553378,-1.9233190747719027,0.07625091181656485
2295,2,0,1,2,mu,mu_out,0,2.0806146113331434,2.0490772836713003,0.03153732766184314
2296,2,0,1,2,mu,mu_out,1,-4.239608214612594,-4.1121100240613675,-0.12749819055122646
2293,2,0,1,3,mu,mu_out,0,-1.940579564517865,-1.9444032989783435,0.0038237344604785672
2294,2,0,1,3,mu,mu_out,1,-4.228638230749777,-4.234657654158125,0.006019423408348601
2292,2,0,2,0,mu,mu_out,0,,,
2290,2,0,2,1,mu,mu_out,0,0.6353939567214951,0.6515071195301131,-0.016113162808617965
2291,2,0,2,1,mu,mu_out,1,2.6183986628706095,2.5975966831796344,0.02080197969097508
2288,2,0,2,2,mu,mu_out,0,-4.063638608679616,-4.064024299647045,0.0003856909674286868
2289,2,0,2,2,mu,mu_out,1,0.022616433505602312,0.011930064699211176,0.010686368806391136
2286,2,0,2,3,mu,mu_out,0,-0.8407214209555371,-0.8097760003132385,-0.03094542064229866
2287,2,0,2,3,mu,mu_out,1,0.40168677687663845,0.3900395506580663,0.011647226218572171
2285,2,0,3,0,mu,mu_out,0,,,
2283,2,0,3,1,mu,mu_out,0,1.9129763223720317,1.9167961308360804,-0.003819808464048613
2284,2,0,3,1,mu,mu_out,1,-5.176264897956918,-5.205402241790061,0.029137343833142815
2281,2,0,3,2,mu,mu_out,0,2.404201114096491,2.3877176564620233,0.01648345763446768
2282,2,0,3,2,mu,mu_out,1,-0.9118570406763229,-0.9143464541812645,0.0024894135049415844
2279,2,0,3,3,mu,mu_out,0,2.1014747312147035,2.0973253880590117,0.00414934315569182
2280,2,0,3,3,mu,mu_out,1,-3.0261805797066317,-3.019188358166983,-0.006992221539648735
2278,2,0,4,0,mu,mu_out,0,,,
2276,2,0,4,1,mu,mu_out,0,-1.7698342174297435,-1.7689323885647223,-0.0009018288650211037
2277,2,0,4,1,mu,mu_out,1,2.940569132654797,2.947574041873287,-0.007004909218490063
2274,2,0,4,2,mu,mu_out,0,0.38800578285239573,0.3936203524384713,-0.005614569586075591
2275,2,0,4,2,mu,mu_out,1,4.046174162479325,4.036721165063878,0.009452997415446696
2272,2,0,4,3,mu,mu_out,0,-1.6477093771931313,-1.6486787145129576,0.0009693373198262911
2273,2,0,4,3,mu,mu_out,1,0.5010725839828052,0.5006032837541734,0.000469300228631786
2271,2,1,1,0,mu,mu_out,0,,,
2269,2,1,1,1,mu,mu_out,0,-0.8999756193351756,-0.9058823663500728,0.00590674701489724
2270,2,1,1,1,mu,mu_out,1,-1.617699372831646,-1.6261730682979243,0.008473695466278297
2267,2,1,1,2,mu,mu_out,0,6.061321706240029,6.066477747919626,-0.005156041679597045
2268,2,1,1,2,mu,mu_out,1,2.571733725316755,2.8074597805056936,-0.2357260551889384
2265,2,1,1,3,mu,mu_out,0,2.468074610430044,2.778899248053631,-0.31082463762358703
2266,2,1,1,3,mu,mu_out,1,3.85324588872194,3.887301433459461,-0.03405554473752126
2264,2,1,2,0,mu,mu_out,0,,,
2262,2,1,2,1,mu,mu_out,0,-1.5292506365708085,-1.5337958836160681,0.004545247045259604
2263,2,1,2,1,mu,mu_out,1,4.337595529946751,4.247972129188725,0.08962340075802544
2260,2,1,2,2,mu,mu_out,0,3.403540119250155,3.3684808154659294,0.035059303784225726
2261,2,1,2,2,mu,mu_out,1,-6.225998439066667,-5.886883314436826,-0.33911512462984117
2258,2,1,2,3,mu,mu_out,0,-0.07196003905672908,-0.038809078799131945,-0.03315096025759714
2259,2,1,2,3,mu,mu_out,1,3.6685269638914773,3.6689631165260104,-0.0004361526345331157
2257,2,1,3,0,mu,mu_out,0,,,
2255,2,1,3,1,mu,mu_out,0,-2.926751732917624,-2.8647480519506963,-0.062003680966927543
2256,2,1,3,1,mu,mu_out,1,5.745546273206686,5.752091235578251,-0.006544962371565433
2253,2,1,3,2,mu,mu_out,0,4.425895843054457,4.567083549139837,-0.1411877060853799
2254,2,1,3,2,mu,mu_out,1,0.8174089823188955,0.8833119245252001,-0.06590294220630466
2251,2,1,3,3,mu,mu_out,0,0.7365633542683568,0.722859756153823,0.01370359811453381
2252,2,1,3,3,mu,mu_out,1,-0.4452283823167481,-0.43695114739085644,-0.008277234925891663
2250,2,1,4,0,mu,mu_out,0,,,
2248,2,1,4,1,mu,mu_out,0,-4.4190751903540875,-4.41360114786679,-0.005474042487297659
2249,2,1,4,1,mu,mu_out,1,-6.087081340155439,-5.169024270858134,-0.9180570692973049
2246,2,1,4,2,mu,mu_out,0,-4.607086179049464,-4.585823609373679,-0.02126256967578488
2247,2,1,4,2,mu,mu_out,1,-0.16207959502662633,-0.0474824088318283,-0.11459718619479803
2244,2,1,4,3,mu,mu_out,0,0.24093835048047882,0.16367237994280745,0.07726597053767137
2245,2,1,4,3,mu,mu_out,1,-2.010044090477046,-2.004806701738235,-0.005237388738811077
2243,2,2,1,0,mu,mu_out,0,,,
2241,2,2,1,1,mu,mu_out,0,-2.449898629079786,-2.4457189910216774,-0.004179638058108726
2242,2,2,1,1,mu,mu_out,1,3.0390439298279497,2.8303811441608646,0.20866278566708507
2239,2,2,1,2,mu,mu_out,0,5.135386522289899,5.009233818668857,0.1261527036210417
2240,2,2,1,2,mu,mu_out,1,-3.61907009639308,-3.397716819464777,-0.2213532769283031
2237,2,2,1,3,mu,mu_out,0,0.41428192679904663,0.4229917793480997,-0.008709852549053043
2238,2,2,1,3,mu,mu_out,1,2.4704482822155245,2.606696177256643,-0.13624789504111856
2236,2,2,2,0,mu,mu_out,0,,,
2234,2,2,2,1,mu,mu_out,0,0.9301977909285366,1.0439712875711802,-0.11377349664264358
