,k,p,q,run_id,param,param_out,param_pos,input,output,diff
769,2,0,4,1,theta,theta_out,1,-0.6013513616901502,-0.5899660866252642,-0.011385275064886069
770,2,0,4,1,theta,theta_out,2,-0.13264758564235685,-0.13520006637489995,0.0025524807325431054
771,2,0,4,1,theta,theta_out,3,0.09644774454716823,0.0915084510796965,0.004939293467471725
764,2,0,4,2,theta,theta_out,0,0.0594466171704513,0.04722747865578439,0.01221913851466691
765,2,0,4,2,theta,theta_out,1,-0.8506065916606459,-0.8619032717379733,0.011296680077327426
766,2,0,4,2,theta,theta_out,2,0.12560459781663513,0.13660914818946604,-0.011004550372830907
767,2,0,4,2,theta,theta_out,3,0.42163736761416326,0.42168475901608893,-4.7391401925667154e-05
760,2,0,4,3,theta,theta_out,0,-0.4925937017481957,-0.48466653199437737,-0.007927169753818353
761,2,0,4,3,theta,theta_out,1,0.4152455340580522,0.4043803180112482,0.010865216046804016
762,2,0,4,3,theta,theta_out,2,-0.5638918520384716,-0.558149943238692,-0.005741908799779538
763,2,0,4,3,theta,theta_out,3,-0.26203833088015716,-0.2765367041517071,0.014498373271549958
759,2,1,1,0,theta,theta_out,0,-0.6131485844743755,-0.6109725828879986,-0.0021760015863768745
758,2,1,1,1,theta,theta_out,0,0.6755784347011888,0.6671857827522149,0.008392651948973984
757,2,1,1,2,theta,theta_out,0,-0.8120706045288703,-0.8068690742788764,-0.005201530249993813
756,2,1,1,3,theta,theta_out,0,0.7549068998973204,0.7694604657031814,-0.01455356580586098
754,2,1,2,0,theta,theta_out,0,0.03371612323176343,0.029345090167931704,0.0043710330638317245
755,2,1,2,0,theta,theta_out,1,-0.4674683030255619,-0.45779027669856104,-0.009678026327000877
752,2,1,2,1,theta,theta_out,0,-0.12046029600430992,-0.11313429311073309,-0.007326002893576836
753,2,1,2,1,theta,theta_out,1,0.5089278683673252,0.49855730588997704,0.010370562477348133
750,2,1,2,2,theta,theta_out,0,-0.4068032903576069,-0.39619225753169146,-0.010611032825915412
751,2,1,2,2,theta,theta_out,1,-0.15847449896193158,-0.17472357007608222,0.016249071114150637
748,2,1,2,3,theta,theta_out,0,0.07043363032993633,0.07076231169364891,-0.00032868136371258516
749,2,1,2,3,theta,theta_out,1,-0.5191386766166068,-0.5245530845292596,0.005414407912652797
745,2,1,3,0,theta,theta_out,0,0.16048266374652131,0.1577367683358837,0.0027458954106376054
746,2,1,3,0,theta,theta_out,1,0.3888479749883805,0.39654821057747236,-0.007700235589091886
747,2,1,3,0,theta,theta_out,2,-0.4368080625716383,-0.4404793979751349,0.003671335403496623
742,2,1,3,1,theta,theta_out,0,-0.452169273859511,-0.44462115654198026,-0.007548117317530745
743,2,1,3,1,theta,theta_out,1,-0.6027450778628058,-0.609775443148937,0.007030365286131102
744,2,1,3,1,theta,theta_out,2,0.3089184330123035,0.3139240408626481,-0.0050056078503445955
739,2,1,3,2,theta,theta_out,0,0.08884249125067246,0.1124282334240361,-0.023585742173363636
740,2,1,3,2,theta,theta_out,1,0.6679799277724616,0.6574281444478101,0.010551783324651565
741,2,1,3,2,theta,theta_out,2,0.0706472277419144,0.07342209644157237,-0.0027748686996579702
736,2,1,3,3,theta,theta_out,0,0.12053988939739257,0.10836197151995793,0.01217791787743465
737,2,1,3,3,theta,theta_out,1,-0.1933860912315497,-0.20929628243404755,0.015910191202497842
738,2,1,3,3,theta,theta_out,2,-0.5534628324610684,-0.5681288643100042,0.014666031848935779
732,2,1,4,0,theta,theta_out,0,-0.09548473674276287,-0.0957612128891522,0.00027647614638932894
733,2,1,4,0,theta,theta_out,1,0.1931844439010979,0.19100376999586272,0.0021806739052351864
